咪咕,#genre#
上海都市,https://histar-proxy.isus.cc/shds
上海新闻,https://histar-proxy.isus.cc/shxw
五星体育,https://histar-proxy.isus.cc/wxty
劲爆体育,https://histar-proxy.isus.cc/jbty
广东体育,https://histar-proxy.isus.cc/gdty
第一财经,https://histar-proxy.isus.cc/yicai
辽宁体育,https://histar-proxy.isus.cc/lnty
天津体育,https://histar-proxy.isus.cc/tjty
广东珠江,https://histar-proxy.isus.cc/gdzj
河南梨园,https://histar-proxy.isus.cc/hnly
辽宁都市,https://histar-proxy.isus.cc/lnds
辽宁影视,https://histar-proxy.isus.cc/lnys
黑龙江都市,https://histar-proxy.isus.cc/hljds
广州综合,https://histar-proxy.isus.cc/gzzh
广州影视,https://histar-proxy.isus.cc/gzys
广州竞赛,https://histar-proxy.isus.cc/gzjs
广东影视,https://histar-proxy.isus.cc/gdys
广东新闻,https://histar-proxy.isus.cc/gdxw
广东民生,https://histar-proxy.isus.cc/gdms
广东少儿,https://histar-proxy.isus.cc/gdse


亦非云,#genre#
CCTV1综合,http://dp.sxtv.top:88/md/yfy.php?id=1
CCTV2财经,http://dp.sxtv.top:88/md/yfy.php?id=2
CCTV3综艺,http://dp.sxtv.top:88/md/yfy.php?id=3
CCTV4中文国际,http://dp.sxtv.top:88/md/yfy.php?id=4
CCTV5体育,http://dp.sxtv.top:88/md/yfy.php?id=5
CCTV5+体育赛事,http://dp.sxtv.top:88/md/yfy.php?id=13
CCTV6电影,http://dp.sxtv.top:88/md/yfy.php?id=6
CCTV7国防军事,http://dp.sxtv.top:88/md/yfy.php?id=7
CCTV8电视剧,http://dp.sxtv.top:88/md/yfy.php?id=8
CCTV9纪录,http://dp.sxtv.top:88/md/yfy.php?id=9
CCTV10科教,http://dp.sxtv.top:88/md/yfy.php?id=10
CCTV11戏曲,http://dp.sxtv.top:88/md/yfy.php?id=41
CCTV12社会与法,http://dp.sxtv.top:88/md/yfy.php?id=11
CCTV13新闻,http://dp.sxtv.top:88/md/yfy.php?id=39
